,SENTENCE
981,through this account cash flows to corporate
982,he should still be able to play in the teams next game
983,deportivo have won nothing in their history
984,how can we get these answers
985,please feel free to add to it if i missed something
986,you havent seen in some time
987,the japanese justice ministry refused maradona a visa
988,just dont start him against the stifling ravens defense this week
989,i decided that i am going to stay here
990,im on a conference call
991,i dont know that i will be back monday
992,we are working on this as we speak
993,heres your gas daily pricing
994,have a great day
995,the book will also present details of the economic conditions
996,show your friends how much you care
997,can you resend me the doyle email from last week
998,has it been mentioned yet
999,as usual i will be as candid as i can
1000,i will need to have my memory refreshed
1001,see we americans had gotten sort of distracted
1002,john can you give konni a call
1003,i am now officially a blackberry addict
1004,one of his accomplices secured a safe landing
1005,there is no average
1006,this method can be used on individual folders as well
1007,you have active players at position wr
1008,disney was great and ive been to eight baseball games
1009,megan im a little too quick for myself
1010,im still learning about the ovals
1011,we will work on the car and try to go a little quicker yet
1012,the informal costs have to disappear
1013,the strategy will be very much the same
1014,i will bring john brindle
1015,donovan mcnabb is one of my starters
1016,and if hes not then he doesnt play
1017,please let me know if you have any questions
1018,new switches can also be added to the paging system
1019,hope that you have a great tg
1020,i am fine with this
1021,jiang made the comments in a meeting with malaysian prime minister
1022,can you try this again
1023,what is the stock price doing
1024,both sides had indicated interest in a cessation of hostilities
1025,chambers is still too inconsistent to start for most fantasy teams
1026,i would like to discuss
1027,she was going to leave at or 
1028,we are heartened by the many notes of care and concern
1029,i will be checking up with lisa
1030,the reserve wideout is daytoday
1031,i have no personal transactions with any enron entity
1032,do we have new york sorted out
1033,he is suffering from a strained left shoulder
1034,i had a last minute meeting come up
1035,i didnt hear from ginger this week
1036,louis despite the return of drew bledsoe
1037,we just need a sitter
1038,its going to be a tough weekend
1039,he was playing only his third event on the european tour
1040,i would like to attend if so
1041,it carries a lot more excitement for the driver
1042,i have the option of starting jim miller or picking up chris weinke
1043,i would assume this week sometime
1044,let me know when you get this
1045,sun jiazheng takes over as radio film and television minister
1046,ill call you when i get to the office
1047,if you need john speak up now
1048,the earliest the jets expect him to return is dec
1049,the team mate says were not interested at this point
1050,let me know if you do not hear from them in the next couple of days
1051,is cassandra there today
1052,i believe she gave a television interview in britain
1053,what is the mood
1054,the event reopens debate on the issue
1055,the letters of credit were to cover three agreements
1056,we cleaned him up as well as we could
1057,has brian had his contract yet
1058,some of us may have have acted as critics at one point or another
1059,scotty and i will be in nyc
1060,please call tomorrow if possible
1061,i think this move will not overcome the problem
1062,i would love to take dawn and sara riding
1063,lance and i have the same chance to win
1064,email the consent to me
1065,binoche welcomed the movie industry to the french riviera
1066,if we dont get it could be trouble
1067,sorry for any inconvenience
1068,he was in great shape last night
1069,the phones should be on now
1070,he is recovering from a bruised left shoulder
1071,thanks i think we have taken care of this
1072,let us not invite unnecessary irritants to this relationship
1073,how did you make sure it was the right set
1074,our schedule now calls for critical communication in the afternoons
1075,a state supreme court judge is expected to rule on the issue shortly
1076,thanks for all you are doing
1077,should we email this to you or fax to your house
1078, million visitors will flood atlanta each day of the olympics
1079,the meteor shower was incredible last night
1080,do we have anyone in portland
1081,we need to bring them along slowly
1082,amy will no longer be here so i will be the only one working on this
1083,his abilities will be limited if he does play sunday
1084,i didnt expect them to hand over the sites
1085,please stay on top of the security issue
1086,he quoted local yemenis as saying that people had been killed
1087,peace talks last week in kirghizstan
1088,their initial review indicates that the pricing seems low
1089,russian foreign ministry sources said a ceasefire accord was agreed
1090,mike got himself a bamboo needle
1091,tonight is my anniversary
1092,money wise that is
1093,purchasing power of us households has been rising
1094,however hes still expected to start in the ers next game on oct
1095,the local forecasters are showing rain for thanksgiving here
1096,megan try this for phillips
1097,liverpool failed again in when they were beaten at wembley
1098,he is expected to participate in practice
1099,you can explain this to me next week or over the weekend
1100,sanaa appeared to be a ghost town with many shops closed
1101,sure was good talking to you this am
1102,he extended freudian theory into adolescence and adulthood
1103,coal switching to ng and power guys stimulating demand
1104,you have a nice holiday too
1105,i will be out on friday but any other day is fine
1106,i am staying at a hotel
1107,he said he would resist all the pressure of time deadlines
1108,im trying to get them billed before the holidays
1109,jeff had been serving as chairman and ceo of enron industrial markets
1110,the rates would become effective after endorsement by parliament
1111,one assistant and one hr associate
1112,last week we reported third quarter earnings
1113,barry hope that you had a great christmas
1114,sports fans here are excited
1115,the trip is nevertheless important to set the course for future ties
1116,he also ruled out extending the safe areas
1117,out of office but have people working on info
1118,profits were up percent for the first quarter of this year
1119,now i really feel im alive not like before
1120,the majority owner of telecom is a consortium
1121,thursday works better for me
1122,on my way back
1123,there is in fact few differences between the candidates
1124,another group of policemen was due to be deployed
1125,britain earlier organised an evacuation of nonbritons from sanaa
1126,maybe traffic will be light on thursday
1127,i am having problems reconciling with theresas invoices
1128,so we need to get these resolved
1129,our forces are ready to come immediately
1130,are things better for you at home tonight
1131,keep him in mind as a no
1132,she would hate to see us not get our expense reports paid
1133,maybe stuff we do more of next year
1134,i have received your messages and will respond accordingly
1135,suggest you get facts before judging anyone
1136,i am not concerned with the brown money
1137,thank you for all your help
1138,i havent seen it yet
1139,i will be taking the first week in december off though
1140,i am on my way
1141,ill send you minutes
1142,has your th quarter changed
1143,ill come have a beer with you guys later
1144,hey tk how are you doing
1145,have you talked to somerholder
1146,michael was great this am
1147,every enron employee has an internet email address
1148,all our demographics indicate that is a family audience
1149,he is already on the job and hard at work on the issues before us
1150,do you want to fax it to my hotel
1151,i need your home cell or whatever
1152,that was how mansell learned passing was allowed on the oval
1153,your voice cheered me up
1154,scott is out most of this week on vacation and im out next week
1155,before i forget there is one last change
1156,will it be delivered
1157,i will try to make sure im in good shape
1158,i think it should be fixed now
1159,i am in m if you need me
1160,this has now become the most pressing story in the capital
1161,but he is expected to play against the raiders on sunday night
1162,the conditions were pretty tough
1163,please let me know
1164,i was out thurs
1165,if so what was it
1166,europe has lost a great ally
1167,the move was a further twist in the longrunning dispute
1168,there are differing views among the dissident community
1169,rumors have him scheduled to attend at least part of the pacers game
1170,i would like it paid through i buy it
1171,youll receive the brand new palm os v
1172,when the inspection is finished we will communicate those results
1173,bob ill take oakland as my winner this week
1174,they would play chile in buenos aires
1175,now go get washed up for dinner
1176,for those of you who have not paid please get your money tome soon
1177,the important thing is to keep your feet on the ground
1178,please let me know if there is any way that i can help you
1179,can you rough out a slide on rating agencies
1180,a bad thing has been turned into a good thing
1181,look for this trend to continue when he faces the san diego
1182,shouldnt be too hard though
1183,the un still recognizes lisbon as the administrator of the territory
1184,wang said that his release was a miracle
1185,the reality is there is much less of an advantage than people think
1186,because there is traffic
1187,thank you for participation cooperation and support
1188,you had to maintain your patience to get the job done
1189,we hope you found this information useful
1190,at least then one person in denver would be able to get in
1191,i think your outlined measures sound fine
1192,let me know if i miss anything
1193,lusinchi is currently in boston ma according to his attorney
1194,name just one person for each color
1195,im not sure if they are issuing any wires at this time
1196,we will get you a copy
1197,we sold the uk business to aep
1198,i am too and we are working very hard to turn it around
1199,song was vice minister of the geology and mineral resources minister
1200,pilot nick young said communications at sanaa airport were excellent
1201,be back tomorrow and maybe we can visit
1202,if hell sign no issues with barclays
1203,the reigning indycar series champion will be among top contenders
1204,make sure they are current
1205,appointing jeff as cfo is one important step in that process
1206,on the plane doors closing
1207,sheila please talk to avashe
1208,the second deal in question which needs to be resolved asap
1209,jason brookins will start at running back if allen is inactive
1210,did you get this
1211,i can review afterwards and get back to you tonight
1212,hope you had a good weekend
1213,i have an am doctors appointment
1214,tests monday showed no structural damage to his shoulder
1215,the law enforcement has responsibility for the safety of the public
1216,ill presume it is dead until i hear otherwise
1217,it was the best dinner table conversation weve had in a long time
1218,i wasnt as prepared as i will be this year
1219,do you need to be there
1220,we have lots of forks etc
1221,how long can you guys shop
1222,go ahead and notify
1223,she probably wont come next year either
1224,jeff attached is my resume
1225,they have capacity now
1226,i agreed terms with greg
1227,our politicians are rising to the occasion
1228,the philippines censorship board voted to cut certain scenes
1229,the hawks led from late in the first quarter
1230,were not aware of any possible changes at stanford stadium
1231,hows the share price
1232,im not planning on doing anything this week
1233,i will bring the pillow back tomorrow and get with you then
1234,just playing with you
1235,the evacuees later boarded a british airliner bound for gatwick
1236,my comments are in fuschia
1237,more than million landmines lie unexploded in at least countries
1238,about jordanian doctors arrived at the hospital a few days ago
1239,mike anderson will retain the starting job for now
1240,doug chapman will likely get the start in bennett s absence
1241,argentina have called off their two football internationals in japan
1242,are you sure i dont need to be there
1243,the injury is more serious than the panthers first expected
1244,once state owned telecom is now half owned by two american companies
1245,got your back while you pick up wine
1246,do you want to eat lunch somewhere before
1247,for those of you that have not signed up please join us for the walk
1248,a bad thing has been turned into a good thing and
1249,when do we review with el paso
1250,vietnam planned to upgrade its current fleet of soviet aircraft
1251,a definitive basic law will be drawn up within a year
1252,next time ask jim to call me
1253,i may take the opportunity to run some errands
1254,they are still burning
1255,had a great meeting
1256,we want a little may madness of our own
1257,mom that sounds fine to me
1258,the directors see significant prospects for growth
1259,a hungarian neuro surgeon said that medical supplies are low
1260,you cant bench martin no matter how bad the matchup may be
1261,but the pact has not entirely calmed the nations nerves
1262,i hope he is having a fantastic time
1263,might include proposals with respect to alaska
1264,remember blackberry doesnt work so well at home
1265,the move is also against our law
1266,we obviously have a lot to talk about
1267,our advantages have been brought into fuller play
1268,it would lessen that anxiety that the officers are faced with
1269,you get in traffic and you have dogfights and i forget im on an oval
1270,just in case we havent invited any of them
1271,we had a great time
1272,tiger woods is set to answer your questions
1273,take what you can get
1274,hope that all is well in denver
1275,the children will entertain you while you wait
1276,washington was not moving toward a unilateral lifting of the embargo
1277,travkin did not receive a specific portfolio
1278,what are the units
1279,louis posting five catches for yards and two scores
1280,not at this time
1281,good to know it exists
1282,you can have all the horsepower and it wont matter
1283,i cant tell you when hell be back
1284,mike is putting pressure on me
1285,we can work with it either way
1286,im leaving around noon tomorrow to catch a flight
1287,i can fill you in on more details later
1288,im going to class
1289,please send to gary smith
1290,no obligation to pay
1291,try it again and let me know
1292,fares shown are roundtrip
1293,doctors gave him years to live at most
1294,also regarding the cash flow from canada
1295,if possible id like to get amys opinion
1296,until he can practice for a couple of weeks we wont have him
1297,but his father likes what he sees from his sons engine
1298,brady only has five catches this season
1299,we know the engine is capable
1300,man i dont want to get sick again
1301,i think that pam butler called him
1302,reserve heap on your roster this week
1303,best of luck and stay in touch
1304,you have active players
1305,we are on a plane coming back
1306,montpellier won the cup at their first attempt
1307,the fourcity tour continues friday in kansas city missouri
1308,clinton on the other hand had backed a plan to convince europe
1309,dont they have some conflicts here
1310,he said police in dallas were also in favor of fences
1311,drop him if he was on your fantasy roster
1312,wasnt nearly as bad as i thought
1313,juppe met with the president at the oval office
1314,seifert said he didnt know if weinke would practice thursday
1315,ive sort of lost track of what all ive received
1316,i have other things to worry about
1317,we will keep you posted
1318,the only other potential office is eott
1319,give it some time
1320,its really just technicalities
1321,winning here everybody was more shocked and surprised
1322,i just want to make sure were both on the same schedule
1323,i encourage each of you to attend or tune in tomorrow
1324,southern forces said they had shot down three northern warplanes
1325,you will never be able to put them out
1326,expect him to produce good numbers against new england
1327,the group is making a pilgrimage to the catholic shrine of fatima
1328,he did not return to the contest and is listed as day to day
1329,ill let you know after lunch
1330,the opposition had plans to hold demonstrations on monday afternoon
1331,this track stands alone as king of the circuits
1332,let me know where you might be
1333,their key decision maker did not show which is not a good sign
1334,budget allocation from glisan has been postponed
1335,dont use bennett this week
1336,i agree since i am at the bank right now
1337,wang was to meet with clintons national security advisor
1338,this is very sensitive
1339,trust me the men are the ones showing restraint
1340,i dont have the distraction of taking care of mimi
1341,i cannot figure out where these prices are coming from
1342,if your reasonable ill bereasonable
1343,my husband and i are on a waiting list to give blood
1344,he will be reevaluated after receiving an injection
1345,both of us are still here
1346,did you talk to ava this morning
1347,we can work around these plans if you prefer
1348,i met my neighbors in the park across the street tonight
1349,in his last years he had been living at the nursing home
1350,opposition leaders have urged him to call off the visit
1351,that would likely be an expensive option
1352,public order will be maintained firmly and energetically
1353,megan im not sure why this is showing up
1354,ill keep you posted
1355,am i getting a good package
1356,trow said the profit return was very high
1357,the charges also cover his relations with advertising companies
1358,bob ill pick san diego as my winner
1359,south korea will send two escort destroyers and men for the maneuvers
1360,i would expect an answer asap
1361,ill probably page you
1362,toomer has been inconsistent this season
1363,will call later to explain
1364,whats your phone number
1365,this time nigel mansell will not be left behind on a restart
1366,were not a lock for the pole
1367,the portal user ids and passwords are created by you
1368,have i mentioned how much i love houston traffic
1369,i am working on the november producers today as a matter of fact
1370,is this cash coming into tw
1371,thanks for all the email
1372,we dont seem to have any positive income there
1373,he remains a good fantasy backup when healthy
1374,what level of detail do you need
1375,the dollar lost ground against the major currencies
1376,my only constraint is chads soccer game at noon
1377,the allemployee meeting will be held tuesday oct
1378,your fax was busy for a while
1379,edwards said chrebet passed the various tests and scans he was given
1380,i know hes working on it
1381,task has to be completed
1382,opening on the back nine she birdied the th and bogeyed the next
1383,probably need to check with hr group providing services
1384,amy was let go last friday here along with another guy
1385,well let you know in the morning if we are interested or not
1386,as soon as we are done well give you a call
1387,interesting are you around for a late lunch
1388,mark please take a look and let me know if you have any questions
1389,dont expect sanders to play anytime soon
1390,we tried to copy it and it worked for us
1391,i was going to call you but i hate to bother your holiday
1392,the appointments were confirmed by chinas parliament
1393,it will all be public someday
1394,i have a request
1395,he started sundays game and had two catches for yards
1396,heres the new one
1397,i havent visited with stan lately
1398,they tend to know who hooligans are and dont sell to them
1399,that calendar was enough to put me on a diet
1400,the ceremony was followed by the premiere of the opening film
1401,were on the way
1402,its quite a weekend
1403,met with partners in san francisco
1404,france also was prepared to participate in a un multinational force
1405,the contract is a bit complicated
1406,what happened to the guy with the paper to sign
1407,valerie i should have greeley on monday for august
1408,right back at you
1409,this time im more comfortable and aware of a lot more situations
1410,we will be bringing in lunch and i need to know how many to order
1411,last week ballesteros had pars and two birdies in his final round
1412,our numbers are correct in the system now
1413,theyve really caught the fever
1414,whether that package is training or material has yet to be determined
1415,since yall are so slow to think here are a few ideas
1416,theresa ive redrafted and were still off even more now
1417,kellyim gonna be early this week
1418,we are in the process of making a change
1419,itt owns the sheraton hotel chain
1420,this came as a shock to me
1421,you cant destroy us and you cant stop us
1422,a gift isnt necessary
1423,what is the status of the pemex discussions
1424,look for him to throw for over yards and a score
1425,i wish he would leave deerfield alone
1426,spanish football reaches boiling point this weekend
1427,i didnt understand we were borrowing them
1428,a threeman inquiry team spent months investigating the allegations
1429,he is one of three eagles who will be held out of the game
1430,i hadnt done that for a while too busy i guess
1431,we havent made that decision here though
1432,i just finished faxing everything
1433,parking at the walk site will be free
1434,although we are sending this email to you sportsline
1435,its too involved out here on saturday with everybody qualifying
1436,were not adversarial in this but we want to know whats going on
1437,ill give it to you tomorrow
1438,very foggy this morning
1439,i want to remind you about our allemployee meeting this tuesday oct
1440,bakus forces had for more than hours been engaged in clashes
1441,ill just have her call tracy
1442,much better than carrying a laptop
1443,youre down by and need to score in plays or less
1444,team chick hasnt been in the superbowl every year for no reason
1445,mochrie remained steady in the face of the upheaval
1446,what did you and ava decide to do
1447,yes i am coming twice
1448,it is definitely time to give up on the disappointing wideout
1449,it is very unlikely that patrons of tour operators are troublemakers
1450,steve gilbert is working on this
1451,he would be sorely missed by all who are striving for progress
1452,treatment options consist of rest an injection or surgery
1453,he is expected to play in sundays game and is listed as probable
1454,i wanted to go drinking with you
1455,have a great trip
1456,they spent about two hours at larnaca airport
1457,as soon as i get it ill forward it to you
1458,see you in enron house when i get back
1459,im not close enough right now to the discussion
1460,china replaced three ministers on thursday
1461,its a shame to have to miss one or the other
1462,as for your second question bench mike anderson
1463,im fully recovered and back on pace
1464,they also agreed on using dialogue to settle the issue
1465,penske doesnt let things sit back and relax
1466,he is expected to play in this weeks game
1467,the exercises will be staged in the west and midpacific region
1468,i liked your flag
1469,david cindy and mary will each report to the office of the chairman
1470,he beat world number one greg norman by six strokes
1471,thanks thats what i was hoping it was
1472,eastwood dominated proceedings with his humour
1473,weve pursued other options and as a result weve made some progress
1474,us vessels will form two separate training units
1475,thats a lot of dollars
1476,ill try and get to this later today
1477,he disputed reports that wheatley would be out four weeks
1478,if lunch doesnt work then how about coffee
1479,about were americans but there were also dutch and swiss
1480,ill get with him by phone to confirm
1481,the single between the two versions is the treatment of foreign banks
1482,the old list we had from sybase no longer exists
1483,this will be hard
1484,but i would suspect that when ricky can play hell play again
1485,i think im ok
1486,the cabinet thursday approved a revised tariff schedule
1487,ruth ill send this spreadsheet as i update it
1488,ill give him 
1489,us president bill clinton favours lifting the embargo
1490,but i believe answer will be yes
1491,will pm et work for you
1492,the delegation is to visit a metal works
1493,will let you know how call goes in morning
1494,i havent really done any studying for it
1495,however hes no better than waiver wire fodder in fantasy football
1496,theresa dont worry about it
1497,dont know how that happened
1498,im taking wednesday off
1499,the area has an armenian population but falls within azerbajian
1500,i will call in to minutes
1501,and i cant turn my phone on
1502,michael has his holiday performance
1503,so i dont know who it ll be carrying the load
1504,the meeting came days after the entry into chernomyrdins team
1505,the senate would require them to create a us subsidiary
1506,a parliamentary committee will collect the publics comments
1507,on friday october th
1508,im very sorry about that mix up
1509,bobill take denver to win
1510,dayne and another second tier rb for one of the above
1511,french actress juliette binoche declared the festival open
1512,this year i can walk and its so much better
1513,jordan is taking her last job corporate development
1514,wed suggest playing brady who will start against
1515,i dont think any country wants to step out ahead and take the lead
1516,since were ok on volumes now its got to be pricing somewhere
1517,wayne has not done much yet so dont put him in your fantasy lineup
1518,dont bother picking him up
1519,antonio guterres sent a message of condolences to smiths widow
1520,for those of you who have not paid please get your money to me soon
1521,i guess the next time ill see you is for super bowl
1522,both sides had indicated interest in a cessation of hostilities
1523,team chick hasnt been in the super bowl every year for no reason
1524,the mercedes drivers are likely to break the track records
1525,since you all are so slow to think here are a few ideas
1526,ill call you in the morning
1527,also please look at howell for oct 
1528,expect much better numbers on james home turf this week
