,sentence.id,sentence.id,agent.id,agent.id,wpm,wpm,lev.distance,lev.distance,gaze.shift,gaze.shift,bs,bs,immediate.bs,immediate.bs,delayed.bs,delayed.bs,gaze.keyboard.ratio,gaze.keyboard.ratio,fix.count,fix.count,finger.travel,finger.travel,iki,iki,correct.error,correct.error,uncorrected.error,uncorrected.error,fix.duration,fix.duration,chunck.length,chunck.length,error.rate,error.rate,kspc,kspc,sentence.length,sentence.length
i am on a plane sorry>,243.0,,0.0,,21.811834172951933,,0.0,,5.0,,0.0,,0.0,,0.0,,0.8186773196142487,,31.0,,90.53124074509806,,550.160060123727,,0.0,,0.0,,334.41051505936736,,1.9090909090909087,,0.0,,1.0,,21.0,
i am on my way>,1140.0,,0.0,,22.654405304329565,,0.0,,4.0,,0.0,,0.0,,0.0,,0.8490341046772412,,20.0,,57.99950643616453,,529.6983010057932,,0.0,,0.0,,301.15267536762644,,1.8333333333333333,,0.0,,1.0,,14.0,
i am out of town on business tonight>,169.0,,0.0,,21.808425528237787,,0.0,,8.0,,3.0,,0.0,,1.0,,0.8660417577959325,,48.0,,129.68948248730467,,473.4675312520458,,1.0,,0.0,,279.6928820737372,,2.4285714285714284,,0.0,,1.1666666666666667,,36.0,
i am out of town on business>,368.0,,0.0,,23.487025031602755,,0.0,,9.0,,0.0,,0.0,,0.0,,0.8280051833306274,,37.0,,103.21933399831256,,510.92039046467175,,0.0,,0.0,,292.09813497195603,,2.090909090909091,,0.0,,1.0,,28.0,
i am out of town until friday>,286.0,,0.0,,20.64095647604893,,0.0,,11.0,,1.0,,1.0,,0.0,,0.8371622257085084,,45.0,,131.06684341924492,,545.0328822239472,,1.0,,0.0,,322.0606404485739,,2.142857142857143,,0.0,,1.0689655172413792,,29.0,
i am really not wanting to come back>,751.0,,0.0,,19.985455473058355,,30.0,,2.0,,2.0,,0.0,,1.0,,0.9094477697983232,,8.0,,36.76834650466072,,480.3493226832584,,0.0,,1.0,,281.91860416576526,,4.0,,83.33333333333334,,0.25,,36.0,
i am snowed under and out of the office>,416.0,,0.0,,21.477016012350724,,0.0,,15.0,,1.0,,1.0,,0.0,,0.799494917184961,,63.0,,147.03781719241096,,532.1303211767981,,1.0,,0.0,,315.94746249978544,,1.625,,0.0,,1.051282051282051,,39.0,
i am sorry you had to come in>,663.0,,0.0,,21.2250110256896,,0.0,,10.0,,0.0,,0.0,,0.0,,0.7323872681177701,,48.0,,105.25075771609092,,565.3707310434776,,0.0,,0.0,,352.2495837080151,,1.3,,0.0,,1.0,,29.0,
i am staying at a hotel>,1106.0,,0.0,,17.60461687515103,,0.0,,11.0,,4.0,,0.0,,1.0,,0.7765894540010585,,41.0,,100.0562439488822,,511.2295293800756,,1.0,,0.0,,333.553427573009,,1.6875,,0.0,,1.3478260869565215,,23.0,
i am surprised such an incident could not have been prevented>,570.0,,0.0,,22.04824979518227,,0.0,,14.0,,4.0,,0.0,,1.0,,0.8515301469242665,,76.0,,227.21422694100025,,482.0596431601507,,1.0,,0.0,,291.52327570456544,,3.0,,0.0,,1.1311475409836065,,61.0,
i am too and we are working very hard to turn it around>,1198.0,,0.0,,21.97431496796997,,0.0,,17.0,,1.0,,1.0,,0.0,,0.809453092875653,,79.0,,201.3392704854904,,527.2613464146626,,1.0,,0.0,,322.03845910082555,,1.8666666666666667,,0.0,,1.0363636363636364,,55.0,
i am trying again>,31.0,,0.0,,22.74912449297089,,0.0,,5.0,,0.0,,0.0,,0.0,,0.8144212146939035,,25.0,,60.18625910537807,,527.4928274144266,,0.0,,0.0,,312.54194712444735,,1.5555555555555556,,0.0,,1.0,,17.0,
i am unavailable for the pm meeting>,550.0,,0.0,,20.25108726831106,,0.0,,14.0,,1.0,,1.0,,0.0,,0.7996400455218406,,56.0,,156.2774786384012,,561.3733673658553,,1.0,,0.0,,345.5153113916753,,1.8,,0.0,,1.0571428571428572,,35.0,
i am walking in now>,329.0,,0.0,,23.2069191112493,,0.0,,6.0,,0.0,,0.0,,0.0,,0.8102854808885672,,26.0,,71.98135085581956,,517.0871644992778,,0.0,,0.0,,291.34546863918104,,1.625,,0.0,,1.0,,19.0,
i am working on the november producers today as a matter of fact>,1369.0,,0.0,,22.04238812451834,,1.0,,25.0,,0.0,,0.0,,0.0,,0.7636777900500475,,94.0,,219.13257360188663,,544.4056212154289,,0.0,,1.0,,335.85756103762446,,1.7222222222222223,,1.5625,,0.984375,,64.0,
i am working with mary joyce on that right now>,890.0,,0.0,,19.54234073845474,,0.0,,16.0,,5.0,,0.0,,2.0,,0.8166773416051423,,71.0,,189.04814606485655,,506.32301291496486,,1.0,,0.0,,311.9408643832352,,2.0,,0.0,,1.2173913043478262,,46.0,
i appreciate you moving so quickly on this>,472.0,,0.0,,26.353589197154243,,0.0,,4.0,,0.0,,0.0,,0.0,,0.90979170810538,,44.0,,148.18189138952846,,455.34594586819327,,0.0,,0.0,,244.2699197370689,,5.333333333333333,,0.0,,1.0,,42.0,
i believe she gave a television interview in britain>,1052.0,,0.0,,18.544927013740395,,0.0,,23.0,,8.0,,0.0,,2.0,,0.7881173960376878,,84.0,,223.58575446014623,,511.8670624262679,,1.0,,0.0,,329.81812166687536,,1.78125,,0.0,,1.2692307692307692,,52.0,
i bet you it will be a strong motor all day though>,357.0,,0.0,,20.07063627576901,,0.0,,18.0,,6.0,,0.0,,2.0,,0.8458515670134696,,73.0,,193.1234283508995,,484.0048706384874,,1.0,,0.0,,303.12131666666687,,2.24,,0.0,,1.24,,50.0,
i called my husband at work today just to tell him i loved him>,753.0,,0.0,,20.54385628681421,,0.0,,24.0,,4.0,,1.0,,1.0,,0.7815352745157726,,90.0,,237.2555236186456,,518.3003217744401,,1.0,,0.0,,326.64111429868547,,1.9393939393939397,,0.0,,1.1290322580645162,,62.0,
i can be there within the hour>,306.0,,0.0,,19.30659091081227,,0.0,,12.0,,5.0,,0.0,,1.0,,0.7948539388906178,,45.0,,106.99743555072264,,469.9519854966248,,1.0,,0.0,,293.49730967518644,,2.125,,0.0,,1.3333333333333333,,30.0,
i can fill you in on more details later>,1287.0,,0.0,,23.16384687791273,,0.0,,14.0,,0.0,,0.0,,0.0,,0.7917772266834519,,55.0,,130.4029321567267,,518.048667099517,,0.0,,0.0,,309.7031508848453,,1.809523809523809,,0.0,,1.0,,39.0,
i can get them>,878.0,,0.0,,22.06010970339976,,0.0,,7.0,,0.0,,0.0,,0.0,,0.7593313495099215,,24.0,,45.08564847213591,,543.9682830838615,,0.0,,0.0,,323.9352844017145,,1.3,,0.0,,1.0,,14.0,
i can return earlier>,866.0,,0.0,,20.270439560526345,,0.0,,9.0,,1.0,,1.0,,0.0,,0.7226696150670759,,28.0,,84.65159483931602,,540.5172249183302,,1.0,,0.0,,334.90708190499424,,1.818181818181818,,0.0,,1.1,,20.0,
i can review afterwards and get back to you tonight>,1211.0,,0.0,,24.459002904759767,,0.0,,16.0,,0.0,,0.0,,0.0,,0.8191761566246348,,61.0,,154.6824968979612,,490.6168925498095,,0.0,,0.0,,288.65300584547606,,2.3,,0.0,,1.0,,51.0,
i cannot figure out where these prices are coming from>,1341.0,,0.0,,23.876887222266213,,0.0,,17.0,,0.0,,0.0,,0.0,,0.7746668152506184,,69.0,,161.32610484490257,,502.5780742813699,,0.0,,0.0,,310.1364950693224,,2.0384615384615383,,0.0,,1.0,,54.0,
i cant seem to find it>,504.0,,0.0,,18.851957813608426,,0.0,,9.0,,4.0,,0.0,,1.0,,0.7947713217072334,,35.0,,84.52742067646213,,472.2706200851328,,1.0,,0.0,,294.3253844916651,,1.8461538461538465,,0.0,,1.3636363636363635,,22.0,
i cant tell you when hell be back>,1283.0,,0.0,,23.1091408226686,,0.0,,11.0,,0.0,,0.0,,0.0,,0.7615279833000338,,45.0,,117.04587086620856,,519.2750389157161,,0.0,,0.0,,322.8047389868169,,1.7647058823529411,,0.0,,1.0,,33.0,
i changed that in one prior draft>,422.0,,0.0,,20.167316057423548,,0.0,,12.0,,2.0,,0.0,,1.0,,0.7401846649277276,,50.0,,128.85981824531876,,532.3882501117916,,1.0,,0.0,,330.22314265155404,,1.65,,0.0,,1.121212121212121,,33.0,
i decided that i am going to stay here>,989.0,,0.0,,23.840280222111872,,20.0,,6.0,,0.0,,0.0,,0.0,,0.8134821234565337,,23.0,,62.367764638447646,,503.3497881820195,,0.0,,1.0,,288.2906198957651,,2.571428571428572,,52.63157894736842,,0.4736842105263157,,38.0,
i didn t mean to get you so bent out of shape>,926.0,,0.0,,21.95995855663197,,0.0,,18.0,,0.0,,0.0,,0.0,,0.7945505482272007,,68.0,,170.73615947354068,,546.4491187018185,,0.0,,0.0,,327.5660811405164,,1.7916666666666667,,0.0,,1.0,,45.0,
i didnt expect them to hand over the sites>,1084.0,,0.0,,22.16879698741509,,0.0,,17.0,,0.0,,0.0,,0.0,,0.804716778880679,,66.0,,159.0190036342285,,541.3013618561363,,0.0,,0.0,,320.9535192365391,,1.64,,0.0,,1.0,,42.0,
i didnt hear from ginger this week>,1035.0,,0.0,,19.700526765769656,,0.0,,16.0,,4.0,,0.0,,1.0,,0.771926644730283,,52.0,,120.56703772118976,,495.79597421914536,,1.0,,0.0,,316.56832600529384,,1.619047619047619,,0.0,,1.2352941176470589,,34.0,
i didnt think we had it>,950.0,,0.0,,24.326359701008016,,0.0,,7.0,,0.0,,0.0,,0.0,,0.832346158537154,,29.0,,79.91101923274863,,493.29205633273415,,0.0,,0.0,,275.3227643630974,,2.625,,0.0,,1.0,,23.0,
i didnt understand we were borrowing them>,1427.0,,0.0,,24.39883759690004,,0.0,,11.0,,0.0,,0.0,,0.0,,0.8405815038647733,,49.0,,134.18340497937513,,491.8267090529199,,0.0,,0.0,,295.18009772935545,,2.5,,0.0,,1.0,,41.0,
i do not want to repeat>,1.0,,0.0,,16.356785044658285,,0.0,,11.0,,4.0,,0.0,,2.0,,0.7629817967816079,,44.0,,112.64311487962944,,550.2303769003294,,1.0,,0.0,,358.3362815265172,,1.263157894736842,,0.0,,1.3478260869565215,,23.0,
i dont have lost creek yet hopefully before you leave>,762.0,,0.0,,21.90892659845576,,0.0,,19.0,,3.0,,1.0,,1.0,,0.8279124924146757,,70.0,,191.4281512796427,,492.9497550446507,,1.0,,0.0,,292.9568849983986,,2.523809523809524,,0.0,,1.1132075471698113,,53.0,
i dont have the distraction of taking care of mimi>,1340.0,,0.0,,23.97136923311077,,0.0,,11.0,,1.0,,1.0,,0.0,,0.8517519244293992,,67.0,,163.35463682523172,,481.7067268469201,,1.0,,0.0,,271.3086681289099,,2.2,,0.0,,1.04,,50.0,
i dont know that i will be back monday>,991.0,,0.0,,18.377615433870865,,0.0,,16.0,,6.0,,1.0,,1.0,,0.8194647148794322,,59.0,,162.387146950244,,499.32868718770766,,1.0,,0.0,,319.91646809046915,,2.095238095238096,,0.0,,1.3157894736842106,,38.0,
i dont think we need to make a big deal of this>,632.0,,0.0,,21.98353797386364,,0.0,,14.0,,1.0,,1.0,,0.0,,0.8064843746533826,,63.0,,182.58374611527265,,524.0284804791748,,1.0,,0.0,,316.7407169036183,,2.2857142857142856,,0.0,,1.0425531914893618,,47.0,
i dont want to even see it in kilometers>,797.0,,0.0,,21.771553462469434,,0.0,,17.0,,0.0,,0.0,,0.0,,0.7056924652634098,,63.0,,130.61949723917868,,551.1779405491675,,0.0,,0.0,,339.72959804076714,,1.3928571428571428,,0.0,,1.0,,40.0,
i dont want to let my nanny go home if you think you need me>,386.0,,0.0,,24.184226309686466,,0.0,,16.0,,0.0,,0.0,,0.0,,0.8582523389377468,,77.0,,200.06724130487487,,496.1911886837439,,0.0,,0.0,,286.00747571435204,,2.6818181818181817,,0.0,,1.0,,60.0,
i doubt that it is forecasted>,892.0,,0.0,,17.794960490739193,,0.0,,12.0,,7.0,,0.0,,2.0,,0.8140205960949473,,47.0,,119.64316805554752,,459.7828798819836,,1.0,,0.0,,290.7880583687416,,1.9411764705882355,,0.0,,1.4827586206896552,,29.0,
i encourage each of you to attend or tune in tomorrow>,1323.0,,0.0,,19.806069320511785,,0.0,,22.0,,7.0,,0.0,,1.0,,0.8295896344833026,,81.0,,192.98007201258923,,481.1359392162142,,1.0,,0.0,,301.5637526082227,,2.107142857142857,,0.0,,1.2641509433962264,,53.0,
i forgot one person when we spoke on friday>,10.0,,0.0,,19.14778805712766,,0.0,,18.0,,3.0,,1.0,,1.0,,0.7557858972684125,,74.0,,179.4760854101095,,551.4997329453465,,1.0,,0.0,,345.0215236897049,,1.3333333333333333,,0.0,,1.1395348837209305,,43.0,
i got the impression that this is a message for internal use>,781.0,,0.0,,23.968084473022216,,0.0,,13.0,,2.0,,0.0,,1.0,,0.8947622111256511,,71.0,,209.28040628456205,,469.8555895951603,,1.0,,0.0,,268.6407273076695,,3.4444444444444446,,0.0,,1.0666666666666669,,60.0,
i guess the next time ill see you is for superbowl>,50.0,,0.0,,19.26725828167334,,0.0,,16.0,,8.0,,2.0,,1.0,,0.8383986992743437,,76.0,,203.02600294810367,,474.0855302125347,,1.0,,0.0,,294.0263212318441,,2.32,,0.0,,1.32,,50.0,
i had a last minute meeting come up>,1034.0,,0.0,,21.45825166600636,,0.0,,10.0,,3.0,,0.0,,1.0,,0.8358139102018926,,50.0,,123.74263277143942,,479.3360822591462,,1.0,,0.0,,286.24303857604684,,2.533333333333333,,0.0,,1.1714285714285717,,35.0,
i hadnt done that for a while too busy i guess>,1430.0,,0.0,,23.53087429241213,,0.0,,11.0,,0.0,,0.0,,0.0,,0.8371400612496824,,62.0,,163.93692635387006,,509.968301682253,,0.0,,0.0,,302.1196903209342,,2.0454545454545454,,0.0,,1.0,,46.0,
i have a high level in my office>,964.0,,0.0,,21.06934619523246,,0.0,,12.0,,0.0,,0.0,,0.0,,0.7439877646564919,,54.0,,116.60040797576976,,569.5478107771252,,0.0,,0.0,,353.58820019155354,,1.25,,0.0,,1.0,,32.0,
i have a request>,1394.0,,0.0,,21.89855329795763,,0.0,,6.0,,0.0,,0.0,,0.0,,0.7173559693363447,,25.0,,58.19369192147316,,547.9814048318517,,0.0,,0.0,,331.4468075953151,,1.3636363636363635,,0.0,,1.0,,16.0,
i have a touch of food poisoning this morning but i may be in later>,168.0,,0.0,,22.928483913171487,,0.0,,20.0,,1.0,,1.0,,0.0,,0.8273772103937203,,92.0,,229.28753368778143,,508.4131555007132,,1.0,,0.0,,296.3470383666629,,2.321428571428572,,0.0,,1.0298507462686568,,67.0,
i have already approved and forwarded>,430.0,,0.0,,23.276358013720326,,0.0,,9.0,,1.0,,1.0,,0.0,,0.8776165166329561,,43.0,,150.366149828301,,489.76734217957255,,1.0,,0.0,,285.02358948752106,,3.4,,0.0,,1.054054054054054,,37.0,
i have an am doctors appointment>,1213.0,,0.0,,17.66767372351469,,0.0,,17.0,,6.0,,0.0,,3.0,,0.8043887081216399,,53.0,,156.47081877024348,,521.251550696475,,1.0,,0.0,,330.01871738647674,,1.947368421052632,,0.0,,1.3125,,32.0,
i have an electric knife>,767.0,,0.0,,20.447880907515565,,0.0,,9.0,,1.0,,1.0,,0.0,,0.7420121877677646,,41.0,,96.03301281893336,,543.3869241202032,,1.0,,0.0,,323.44434066318865,,1.411764705882353,,0.0,,1.0833333333333333,,24.0,
i have been in contact with him and he is familiar with the issues>,104.0,,0.0,,17.415548449564945,,15.0,,21.0,,12.0,,0.0,,2.0,,0.7921972243038379,,90.0,,212.52094730306865,,484.18988680445966,,0.0,,1.0,,314.6805231831871,,1.6578947368421053,,22.727272727272727,,1.106060606060606,,66.0,
i have been very steady and i should have had a much better score>,245.0,,0.0,,23.40431383987228,,0.0,,21.0,,0.0,,0.0,,0.0,,0.8064720870786805,,86.0,,210.96770639707591,,512.7259906913589,,0.0,,0.0,,308.10565534458067,,2.033333333333333,,0.0,,1.0,,65.0,
i have different ones>,941.0,,0.0,,15.462710196474845,,18.0,,2.0,,3.0,,0.0,,1.0,,0.8878667613138632,,7.0,,25.725431515847387,,431.1447722913748,,0.0,,1.0,,279.0356258694162,,3.0,,85.71428571428571,,0.3809523809523809,,21.0,
i have forwarded to kelly>,465.0,,0.0,,21.425244114689978,,0.0,,11.0,,0.0,,0.0,,0.0,,0.7341403451800966,,39.0,,85.35241826180733,,560.0869673065865,,0.0,,0.0,,364.1060400254272,,1.1578947368421053,,0.0,,1.0,,25.0,
i have minutes then>,924.0,,0.0,,22.956004625994368,,0.0,,7.0,,0.0,,0.0,,0.0,,0.8080062078720328,,31.0,,62.31867140533444,,522.7390478224477,,0.0,,0.0,,302.3566333751851,,1.5833333333333333,,0.0,,1.0,,19.0,
i have no personal transactions with any enron entity>,1031.0,,0.0,,18.1991811593143,,0.0,,21.0,,8.0,,1.0,,2.0,,0.8192487795868596,,86.0,,238.6936870341049,,508.6571080372522,,1.0,,0.0,,321.36002302494603,,1.90625,,0.0,,1.30188679245283,,53.0,
i have other things to worry about>,1316.0,,0.0,,25.088232111629523,,0.0,,6.0,,0.0,,0.0,,0.0,,0.8535214977040086,,40.0,,116.72412725771508,,478.31190123745154,,0.0,,0.0,,266.3788429438128,,3.0,,0.0,,1.0,,34.0,
i have rates and capacity utilization information ready>,688.0,,0.0,,23.1032751116988,,0.0,,19.0,,0.0,,0.0,,0.0,,0.7977108994279506,,80.0,,184.0884159379264,,519.4068781150238,,0.0,,0.0,,309.91369316544154,,1.6774193548387095,,0.0,,1.0,,55.0,
i have received your messages and will respond accordingly>,1134.0,,0.0,,19.00013219004329,,0.0,,21.0,,11.0,,1.0,,1.0,,0.8084134515261098,,80.0,,213.39060870358364,,460.0357857152797,,1.0,,0.0,,300.92485515677345,,2.321428571428572,,0.0,,1.3793103448275863,,58.0,
i have some more data coming>,439.0,,0.0,,19.3305848798679,,0.0,,12.0,,3.0,,1.0,,1.0,,0.7857092104733859,,47.0,,112.19149035408137,,514.3588362508507,,1.0,,0.0,,307.0699402897523,,1.8125,,0.0,,1.2142857142857142,,28.0,
i have the option of starting jim miller or picking up chris weinke>,1042.0,,0.0,,24.293550292954347,,0.0,,16.0,,0.0,,0.0,,0.0,,0.82067861425205,,81.0,,216.99779312017392,,493.9582669182881,,0.0,,0.0,,290.3771031979027,,2.64,,0.0,,1.0,,67.0,
i havent adapted really>,254.0,,0.0,,22.724148425365872,,0.0,,6.0,,0.0,,0.0,,0.0,,0.7331215551420303,,33.0,,83.87924272818424,,528.0725937613125,,0.0,,0.0,,320.29391206106374,,1.7692307692307692,,0.0,,1.0,,23.0,
i havent really done any studying for it>,1494.0,,0.0,,22.378724826658942,,0.0,,12.0,,2.0,,0.0,,1.0,,0.8663115356042527,,55.0,,149.3717902354733,,488.5592641234346,,1.0,,0.0,,280.61620895385585,,2.9285714285714284,,0.0,,1.1,,40.0,
i havent seen it yet>,1138.0,,0.0,,17.24366405704638,,0.0,,8.0,,6.0,,1.0,,1.0,,0.8498692389384143,,34.0,,85.70182853015513,,442.8504064507766,,1.0,,0.0,,269.01547891966794,,1.6,,0.0,,1.6,,20.0,
i havent visited with stan lately>,1397.0,,0.0,,22.079361040924866,,0.0,,12.0,,0.0,,0.0,,0.0,,0.8029092634480499,,49.0,,129.00099197157869,,543.4939886963931,,0.0,,0.0,,323.925352889511,,1.8823529411764703,,0.0,,1.0,,33.0,
i heard it was at >,601.0,,0.0,,20.255803533199003,,0.0,,6.0,,2.0,,0.0,,1.0,,0.8238280138048907,,26.0,,71.99828134048344,,489.3927541316007,,1.0,,0.0,,295.8190033124008,,1.9,,0.0,,1.2222222222222223,,18.0,
i hope everything worked out okay with your rent>,212.0,,0.0,,19.706024173686224,,0.0,,19.0,,6.0,,0.0,,1.0,,0.7855188862176989,,72.0,,184.0767360991479,,489.157233206212,,1.0,,0.0,,311.89421806802534,,1.8214285714285716,,0.0,,1.25,,48.0,
i hope he is having a fantastic time>,1262.0,,0.0,,20.514672990668924,,0.0,,12.0,,1.0,,1.0,,0.0,,0.791241430798193,,60.0,,140.294240336438,,554.9498834221566,,1.0,,0.0,,336.34588291688925,,1.5416666666666667,,0.0,,1.0555555555555556,,36.0,
i hope that you find these communications informative>,610.0,,0.0,,23.653687676444825,,0.0,,15.0,,1.0,,1.0,,0.0,,0.8588118375593923,,66.0,,187.8204433435868,,489.20188385474495,,1.0,,0.0,,278.4433787220936,,3.375,,0.0,,1.0377358490566038,,53.0,
i hope this answers your question>,213.0,,0.0,,20.496002349552967,,0.0,,11.0,,3.0,,0.0,,1.0,,0.7789913261043536,,48.0,,124.14136839258248,,497.6580225764108,,1.0,,0.0,,308.604533630354,,1.6666666666666667,,0.0,,1.181818181818182,,33.0,
i hope this is the last revision for september>,647.0,,0.0,,22.97986503224719,,0.0,,14.0,,0.0,,0.0,,0.0,,0.7948677145537281,,64.0,,167.39798142886025,,522.1962784881738,,0.0,,0.0,,313.3274454084135,,1.875,,0.0,,1.0,,46.0,
i hope well get the game here in denver>,899.0,,0.0,,23.025732620954717,,0.0,,11.0,,2.0,,0.0,,1.0,,0.8430370051228123,,46.0,,138.63481603952044,,473.77823275699046,,1.0,,0.0,,278.6267456360222,,3.333333333333333,,0.0,,1.1025641025641026,,39.0,
i hope you are feeling better>,819.0,,0.0,,25.69459130122845,,0.0,,6.0,,0.0,,0.0,,0.0,,0.8346580150766736,,35.0,,83.04334336910657,,467.0243577459153,,0.0,,0.0,,266.00723202078404,,1.818181818181818,,0.0,,1.0,,29.0,
i hope you feel better>,24.0,,0.0,,21.99793999613885,,0.0,,6.0,,1.0,,1.0,,0.0,,0.8078020540553347,,30.0,,81.41790196690542,,501.8651747362606,,1.0,,0.0,,299.8034259573144,,2.1,,0.0,,1.0909090909090908,,22.0,
i hope you went>,816.0,,0.0,,22.77737990908283,,0.0,,5.0,,0.0,,0.0,,0.0,,0.8300110161626898,,20.0,,57.40329306878781,,526.8384707942118,,0.0,,0.0,,316.61881372223473,,2.142857142857143,,0.0,,1.0,,15.0,
i just faxed copies of the invoices to you>,127.0,,0.0,,22.306377756357808,,0.0,,12.0,,2.0,,0.0,,1.0,,0.8075616434711274,,57.0,,139.21862176370635,,492.1786730311308,,1.0,,0.0,,292.79404639662846,,1.75,,0.0,,1.0952380952380951,,42.0,
i just finished faxing everything>,1432.0,,0.0,,22.57159848739862,,0.0,,15.0,,0.0,,0.0,,0.0,,0.7245017444847318,,51.0,,94.34842891340313,,531.6415674636165,,0.0,,0.0,,323.2631266729492,,1.2272727272727273,,0.0,,1.0,,33.0,
i just had my head in the clouds>,794.0,,0.0,,23.7068935689973,,0.0,,11.0,,0.0,,0.0,,0.0,,0.8016971003546849,,42.0,,98.38487822060496,,506.1818818680235,,0.0,,0.0,,295.19508923555486,,2.0,,0.0,,1.0,,32.0,
i just tracked down steve>,732.0,,0.0,,23.648423584529606,,0.0,,6.0,,0.0,,0.0,,0.0,,0.8596995164168584,,31.0,,93.53534021267204,,507.43340067074047,,0.0,,0.0,,290.83936318387146,,2.7777777777777777,,0.0,,1.0,,25.0,
i just want to make sure were both on the same schedule>,1322.0,,0.0,,22.36635368350633,,0.0,,18.0,,1.0,,1.0,,0.0,,0.8126883727129409,,77.0,,203.30989495239112,,518.0194796389976,,1.0,,0.0,,308.32992245826074,,2.074074074074074,,0.0,,1.0363636363636364,,55.0,
i know hes working on it>,1380.0,,0.0,,23.675876112368577,,0.0,,7.0,,0.0,,0.0,,0.0,,0.8349769853940743,,28.0,,88.33224111074011,,506.8450241522867,,0.0,,0.0,,300.79368181109646,,2.6666666666666665,,0.0,,1.0,,24.0,
i know my way around the hospital better than i do the stadium>,307.0,,0.0,,16.677394906599055,,52.0,,3.0,,8.0,,1.0,,1.0,,0.935219979117976,,16.0,,63.32422814629011,,387.44291286055136,,0.0,,1.0,,258.76365001529354,,6.0,,83.87096774193549,,0.4032258064516129,,62.0,
i know several who work there>,126.0,,0.0,,17.858347207052702,,0.0,,9.0,,4.0,,1.0,,1.0,,0.8216688848585644,,45.0,,143.16961932378183,,530.4905376005303,,1.0,,0.0,,346.34373752694887,,1.8333333333333333,,0.0,,1.2758620689655171,,29.0,
i know you changed it>,53.0,,0.0,,22.598119113841708,,0.0,,7.0,,0.0,,0.0,,0.0,,0.7903745519622711,,30.0,,77.15875063657386,,531.0176452981792,,0.0,,0.0,,312.1892552863299,,1.3636363636363635,,0.0,,1.0,,21.0,
i left a message>,325.0,,0.0,,23.33780254525299,,0.0,,6.0,,0.0,,0.0,,0.0,,0.7987768878425023,,21.0,,59.91853399670217,,514.1872280704874,,0.0,,0.0,,299.7372100932461,,1.625,,0.0,,1.0,,16.0,
i like nick and everett>,248.0,,0.0,,25.02197321666853,,0.0,,6.0,,0.0,,0.0,,0.0,,0.837108381612063,,25.0,,79.41477451035361,,479.5784847218256,,0.0,,0.0,,279.1765324737618,,3.6666666666666665,,0.0,,1.0,,23.0,
i liked your flag>,1468.0,,0.0,,24.16308936141527,,0.0,,4.0,,0.0,,0.0,,0.0,,0.8784449228732604,,21.0,,64.49023282133498,,496.6252377960474,,0.0,,0.0,,275.02884963984224,,2.2,,0.0,,1.0,,17.0,
i love you too>,98.0,,0.0,,26.17093924869356,,0.0,,3.0,,0.0,,0.0,,0.0,,0.8516389036591293,,18.0,,43.43247701138906,,458.5238567851184,,0.0,,0.0,,246.88074319749168,,2.8,,0.0,,1.0,,14.0,
i may take the opportunity to run some errands>,1253.0,,0.0,,20.35072747456405,,0.0,,20.0,,1.0,,1.0,,0.0,,0.7209645139774422,,75.0,,167.64032615697718,,565.5917753318164,,1.0,,0.0,,362.2940203394359,,1.3428571428571427,,0.0,,1.0434782608695652,,46.0,
i meant to try and explain not to redo>,373.0,,0.0,,21.74997083012402,,0.0,,16.0,,0.0,,0.0,,0.0,,0.7732904751266565,,59.0,,136.87330499419824,,551.7248778733913,,0.0,,0.0,,342.2200839648652,,1.52,,0.0,,1.0,,38.0,
i met my neighbors in the park across the street tonight>,1348.0,,0.0,,23.322225487847813,,0.0,,20.0,,0.0,,0.0,,0.0,,0.8082600567600728,,77.0,,184.3648090441916,,514.5306568728903,,0.0,,0.0,,309.44828500960494,,2.0,,0.0,,1.0,,56.0,
i might have something at the office>,496.0,,0.0,,25.20925212114673,,0.0,,7.0,,0.0,,0.0,,0.0,,0.858869862504686,,41.0,,120.48900471765734,,476.0157081349441,,0.0,,0.0,,267.62886726326576,,3.2,,0.0,,1.0,,36.0,
i need a little more stability in my work environment>,147.0,,0.0,,20.558909734771312,,0.0,,20.0,,3.0,,0.0,,1.0,,0.7907515316639581,,81.0,,202.18401173822272,,525.3196856900415,,1.0,,0.0,,330.1789816884257,,1.8064516129032255,,0.0,,1.1132075471698113,,53.0,
i need to go to stans office>,634.0,,0.0,,24.968134449406044,,0.0,,6.0,,0.0,,0.0,,0.0,,0.8898257518461665,,34.0,,98.46739906292022,,480.61259940409616,,0.0,,0.0,,268.21160452776616,,3.25,,0.0,,1.0,,28.0,
i need to link them up to the tagg deal>,913.0,,0.0,,24.63919699405447,,0.0,,12.0,,0.0,,0.0,,0.0,,0.842277249913842,,48.0,,125.33750719869606,,487.0288590531439,,0.0,,0.0,,282.6958900106682,,2.769230769230769,,0.0,,1.0,,39.0,
i need to talk to tom carlton their decisionmaker>,77.0,,0.0,,21.27895599799376,,0.0,,13.0,,2.0,,0.0,,1.0,,0.7745293175969976,,67.0,,191.83023023435103,,522.1642975416039,,1.0,,0.0,,328.363439888685,,1.7307692307692308,,0.0,,1.0816326530612246,,49.0,
i need your help in putting together a new list>,731.0,,0.0,,22.22733496460131,,0.0,,15.0,,1.0,,1.0,,0.0,,0.8040057013349357,,70.0,,163.18900315974207,,518.2807573803362,,1.0,,0.0,,311.3404009482104,,1.6923076923076923,,0.0,,1.0425531914893618,,47.0,
